"","long","lat","timestamps","timelong","sessions","days","elapsed","diff","diffsum","nextlong","nextlat","longabs"
"82",-114.0005151,46.8870326,"2020-08-19T19:28:13.305Z",1597843693.305,2,2,48493.3050000668,17.7740001678467,17.7740001678467,-114.00014086,46.88653111,114.0005151
"83",-114.00014086,46.88653111,"2020-08-19T19:29:01.000Z",1597843741,2,2,48541,47.6949999332428,65.4690001010895,-114.00000772,46.88617666,114.00014086
"84",-114.00000772,46.88617666,"2020-08-19T19:29:30.000Z",1597843770,2,2,48570,29,94.4690001010895,-114.00000461,46.88612395,114.00000772
"85",-114.00000461,46.88612395,"2020-08-19T19:29:58.000Z",1597843798,2,2,48598,28,122.469000101089,-113.99907652,46.88594392,114.00000461
"86",-113.99907652,46.88594392,"2020-08-19T19:30:17.000Z",1597843817,2,2,48617,19,141.469000101089,-113.99848739,46.8860123,113.99907652
"87",-113.99848739,46.8860123,"2020-08-19T19:30:39.000Z",1597843839,2,2,48639,22,163.469000101089,-113.9972801,46.8860067,113.99848739
"88",-113.9972801,46.8860067,"2020-08-19T19:30:59.560Z",1597843859.56,2,2,48659.5599999428,20.5599999427795,184.029000043869,-113.99790192,46.88586522,113.9972801
"89",-113.99790192,46.88586522,"2020-08-19T19:31:00.000Z",1597843860,2,2,48660,0.440000057220459,184.469000101089,-113.9972801,46.8860067,113.99790192
"90",-113.9972801,46.8860067,"2020-08-19T19:31:16.337Z",1597843876.337,2,2,48676.3369998932,16.3369998931885,200.805999994278,-113.9971413,46.885328,113.9972801
"91",-113.9971413,46.885328,"2020-08-19T19:31:37.354Z",1597843897.354,2,2,48697.3540000916,21.0170001983643,221.823000192642,-113.9977913,46.8847559,113.9971413
"92",-113.9977913,46.8847559,"2020-08-19T19:32:00.075Z",1597843920.075,2,2,48720.0750000477,22.720999956131,244.544000148773,-113.997803,46.8846817,113.9977913
"93",-113.997803,46.8846817,"2020-08-19T19:32:40.239Z",1597843960.239,2,2,48760.239000082,40.1640000343323,284.708000183105,-113.9977775,46.8832429,113.997803
"94",-113.9977775,46.8832429,"2020-08-19T19:33:27.297Z",1597844007.297,2,2,48807.2969999313,47.0579998493195,331.766000032425,-113.9977245,46.8832378,113.9977775
"95",-113.9977245,46.8832378,"2020-08-19T19:33:28.262Z",1597844008.262,2,2,48808.2620000839,0.965000152587891,332.731000185013,-113.9977848,46.883312,113.9977245
"96",-113.9977848,46.883312,"2020-08-19T19:33:48.411Z",1597844028.411,2,2,48828.4110000134,20.1489999294281,352.880000114441,-113.9968432,46.8833786,113.9977848
"97",-113.9968432,46.8833786,"2020-08-19T19:34:09.296Z",1597844049.296,2,2,48849.2960000038,20.8849999904633,373.765000104904,-113.9962673,46.8828679,113.9968432
"98",-113.9962673,46.8828679,"2020-08-19T19:34:54.508Z",1597844094.508,2,2,48894.507999897,45.2119998931885,418.976999998093,-113.99622632,46.8831993,113.9962673
"99",-113.99622632,46.8831993,"2020-08-19T19:34:55.000Z",1597844095,2,2,48895,0.492000102996826,419.469000101089,-113.9962673,46.8828679,113.99622632
"100",-113.9962673,46.8828679,"2020-08-19T19:35:12.453Z",1597844112.453,2,2,48912.4530000687,17.4530000686646,436.922000169754,-113.995549,46.8827015,113.9962673
"101",-113.995549,46.8827015,"2020-08-19T19:35:34.324Z",1597844134.324,2,2,48934.3239998817,21.8709998130798,458.792999982834,-113.9960517,46.8823049,113.995549
"102",-113.9960517,46.8823049,"2020-08-19T19:35:54.243Z",1597844154.243,2,2,48954.2430000305,19.9190001487732,478.712000131607,-113.9964539,46.8819168,113.9960517
"103",-113.9964539,46.8819168,"2020-08-19T19:36:35.310Z",1597844195.31,2,2,48995.3099999428,41.066999912262,519.779000043869,-113.996419,46.8818983,113.9964539
"104",-113.996419,46.8818983,"2020-08-19T19:36:36.369Z",1597844196.369,2,2,48996.368999958,1.05900001525879,520.838000059128,-113.9965838,46.881493,113.996419
"105",-113.9965838,46.881493,"2020-08-19T19:36:57.218Z",1597844217.218,2,2,49017.2179999352,20.8489999771118,541.68700003624,-113.9968858,46.8809855,113.9965838
"106",-113.9968858,46.8809855,"2020-08-19T19:37:42.525Z",1597844262.525,2,2,49062.5250000954,45.3070001602173,586.994000196457,-113.99675754,46.88101923,113.9968858
"107",-113.99675754,46.88101923,"2020-08-19T19:37:43.000Z",1597844263,2,2,49063,0.474999904632568,587.469000101089,-113.9968858,46.8809855,113.99675754
"108",-113.9968858,46.8809855,"2020-08-19T19:37:59.293Z",1597844279.293,2,2,49079.2929999828,16.2929999828339,603.762000083923,-113.9960094,46.8806743,113.9968858
"109",-113.9960094,46.8806743,"2020-08-19T19:38:20.308Z",1597844300.308,2,2,49100.3080000877,21.0150001049042,624.777000188828,-113.99616096,46.88019856,113.9960094
